Net Metrekare,Oda Sayısı,Bulunduğu Kat,Banyo Sayısı,Binanın Yaşı,Binanın Kat Sayısı,Site İçerisinde,address,price,latitude,longitude
135.0,3+1,2.Kat,2,0 (Yeni),4,Evet,Kocaeli - Başiskele - Fatih Mahallesi,3750000,40.6944072,29.9682719
240.0,5+1,6.Kat,6+,5-10,6,Hayır,Kocaeli - Gebze - Güzeller Mahallesi,6200000,40.8069074,29.4338932
55.0,1+1,1.Kat,1,1,4,Hayır,Kocaeli - İzmit - Erenler Mahallesi,1450000,40.7766241,29.9436979
72.0,2+1,3.Kat,1,0 (Yeni),3,Evet,Kocaeli - Başiskele - Altınkent Mahallesi,2850000,40.697935,29.9436979
100.0,3+1,2.Kat,2,0 (Yeni),3,Hayır,Kocaeli - Başiskele - Barbaros Mahallesi,5150000,40.7074291,29.9306863
110.0,3+1,8.Kat,1,16-20,8,Evet,Kocaeli - İzmit - Erenler Mahallesi,2490000,40.7766241,29.9436979
167.0,4+1,Düz Giriş (Zemin),2,3,5,Hayır,Kocaeli - Başiskele - Yeşilyurt Mahallesi,3999000,40.7147344,29.9538172
200.0,4+1,8.Kat,3,0 (Yeni),8,Evet,Kocaeli - İzmit - Çayırköy Mahallesi,7250000,40.800946,29.995282
95.0,2+1,2.Kat,1,0 (Yeni),4,Hayır,Kocaeli - Körfez - Yavuz Sultan Selim Mahallesi,2875000,40.7807635,29.7947139
70.0,1+1,Düz Giriş (Zemin),1,0 (Yeni),3,Hayır,Kocaeli - Kartepe - Ataevler Mahallesi,1775000,40.7438656,30.0463012
115.0,3+1,Çatı Katı,1,0 (Yeni),3,Hayır,Kocaeli - Kartepe - Emekevler Mahallesi,2950000,40.7387377,30.0723009
165.0,4+1,Çatı Dubleks,1,5-10,4,Hayır,Kocaeli - Gölcük - Şehitler Mahallesi,2780000,40.7130973,29.8251023
85.0,2+1,2.Kat,1,0 (Yeni),3,Hayır,Kocaeli - Darıca - Nenehatun Mahallesi,2630000,40.7812258,29.384554
100.0,3+1,Kot 4 (-4).Kat,2,21 Ve Üzeri,4,Evet,Kocaeli - Darıca - Bağlarbaşı Mahallesi,3000000,40.7617966,29.3918108
127.0,3+1,Kot 2 (-2).Kat,1,11-15,8,Hayır,Kocaeli - İzmit - Veliahmet Mahallesi,2650000,40.7711951,29.9241801
175.0,4+1,Çatı Dubleks,1,4,4,Hayır,Kocaeli - Körfez - Barbaros Mahallesi,3250000,40.7625974,29.7730038
200.0,4+1,Unknown,3,0 (Yeni),2,Hayır,Kocaeli - Kartepe - Sarımeşe Mahallesi,8500000,40.72833540000001,30.0520793
120.0,3+1,1.Kat,1,5-10,5,Evet,Kocaeli - Körfez - İlimtepe Mahallesi,2400000,40.7905943,29.7599761
200.0,3+1,1.Kat,1,3,2,Hayır,Kocaeli - Körfez - Yeniyalı Mahallesi,3950000,40.7679064,29.7787935
120.0,3+1,2.Kat,1,11-15,5,Hayır,Kocaeli - Körfez - İlimtepe Mahallesi,2000000,40.7905943,29.7599761
104.0,2+1,1.Kat,1,5-10,4,Hayır,Kocaeli - Körfez - Fatih Mahallesi,2600000,40.753727,29.7961611
160.0,3+1,1.Kat,2,4,5,Evet,Kocaeli - Körfez - Mimar Sinan Mahallesi,5350000,40.7659429,29.7570809
190.0,3+1,3.Kat,1,2,3,Hayır,Kocaeli - Körfez - Güney Mahallesi,2995000,40.7502682,29.7715563
374.0,1 Oda,Unknown,Yok,5-10,3,Hayır,Kocaeli - Körfez - Karayakuplu Mahallesi,2950000,40.885772,29.782312
120.0,3+1,2.Kat,1,5-10,5,Evet,Kocaeli - Körfez - İlimtepe Mahallesi,2120000,40.7905943,29.7599761
120.0,3+1,3.Kat,1,5-10,5,Evet,Kocaeli - Körfez - İlimtepe Mahallesi,2350000,40.7905943,29.7599761
120.0,3+1,1.Kat,1,5-10,5,Evet,Kocaeli - Körfez - İlimtepe Mahallesi,2500000,40.7905943,29.7599761
105.0,2+1,4.Kat,1,11-15,4,Evet,Kocaeli - Körfez - İlimtepe Mahallesi,1850000,40.7905943,29.7599761
120.0,3+1,Bahçe Katı,1,16-20,3,Hayır,Kocaeli - Başiskele - Yeşilkent Mahallesi,2500000,40.6843433,29.9263488
110.0,3+1,2.Kat,1,5-10,3,Hayır,Kocaeli - Derince - Fatih Sultan Mahallesi,2200000,40.7740571,29.8265492
170.0,4+1,4.Kat,1,5-10,4,Hayır,Kocaeli - Çayırova - İnönü Mahallesi,3450000,40.8228769,29.3932622
140.0,3+1,5.Kat,1,16-20,13,Hayır,Kocaeli - İzmit - Alikahya Cumhuriyet Mahallesi,4300000,40.7766469,29.9841704
120.0,3+1,5.Kat,2,11-15,5,Hayır,Kocaeli - Gebze - Adem Yavuz Mahallesi,3100000,40.8176435,29.3787483
100.0,2+1,Bahçe Dublex,1,0 (Yeni),4,Hayır,Kocaeli - Çayırova - İnönü Mahallesi,2270000,40.8228769,29.3932622
80.0,2+1,3.Kat,1,11-15,5,Hayır,Kocaeli - Darıca - Fevzi Çakmak Mahallesi,2400000,40.7669386,29.3973465
90.0,2+1,1.Kat,1,11-15,3,Hayır,Kocaeli - Körfez - Atalar Mahallesi,2750000,40.7757606,29.7223337
129.0,1 Oda,Unknown,Yok,21 Ve Üzeri,2,Hayır,Kocaeli - Çayırova - Özgürlük Mahallesi,3150000,40.8283772,29.3860054
200.0,4+1,2.Kat,2,0 (Yeni),3,Hayır,Kocaeli - Darıca - Kazım Karabekir Mahallesi,4190000,40.7764794,29.3932622
161.0,4+1,Müstakil,2,5-10,2,Hayır,Kocaeli - Başiskele - Yeniköy Merkez Mahallesi,3500000,40.6896527,29.8873054
125.0,3+1,2.Kat,1,0 (Yeni),2,Hayır,Kocaeli - Başiskele - Yeşilyurt Mahallesi,3350000,40.7147344,29.9538172
85.0,2+1,2.Kat,2,0 (Yeni),4,Hayır,Kocaeli - Başiskele - Yeşilyurt Mahallesi,2650000,40.7147344,29.9538172
200.0,4+1,4.Kat,2,0 (Yeni),4,Hayır,Kocaeli - Çayırova - Atatürk Mahallesi,3550000,40.8361956,29.3787483
108.0,3+1,1.Kat,1,0 (Yeni),3,Hayır,Kocaeli - Kartepe - Fatih Sultan Mehmet Mahallesi,3500000,40.7365963,30.0231861
105.0,3+1,2.Kat,2,0 (Yeni),3,Hayır,Kocaeli - Çayırova - Özgürlük Mahallesi,3150000,40.8283772,29.3860054
