Net Metrekare,Oda Sayısı,Bulunduğu Kat,Banyo Sayısı,Binanın Yaşı,Binanın Kat Sayısı,Site İçerisinde,latitude,longitude,price
110.0,3.0,2.0,1,5.0,3,0.0,40.7740571,29.8265492,2.2
170.0,4.0,4.0,1,5.0,4,0.0,40.8228769,29.3932622,3.45
140.0,3.0,5.0,1,16.0,13,0.0,40.7766469,29.9841704,4.3
120.0,3.0,5.0,2,11.0,5,0.0,40.8176435,29.3787483,3.1
100.0,2.0,2.0,1,0.0,4,0.0,40.8228769,29.3932622,2.27
80.0,2.0,3.0,1,11.0,5,0.0,40.7669386,29.3973465,2.4
90.0,2.0,1.0,1,11.0,3,0.0,40.7757606,29.7223337,2.75
129.0,1.0,2.0,0,21.0,2,0.0,40.8283772,29.3860054,3.15
200.0,4.0,2.0,2,0.0,3,0.0,40.7764794,29.3932622,4.19
161.0,4.0,2.0,2,5.0,2,0.0,40.6896527,29.8873054,3.5
125.0,3.0,2.0,1,0.0,2,0.0,40.7147344,29.9538172,3.35
85.0,2.0,2.0,2,0.0,4,0.0,40.7147344,29.9538172,2.65
200.0,4.0,4.0,2,0.0,4,0.0,40.8361956,29.3787483,3.55
108.0,3.0,1.0,1,0.0,3,0.0,40.7365963,30.0231861,3.5
105.0,3.0,2.0,2,0.0,3,0.0,40.8283772,29.3860054,3.15
123.0,4.0,1.0,2,0.0,3,0.0,40.7365963,30.0231861,4.6
10.0,3.0,1.0,1,4.0,3,1.0,40.7659429,29.7570809,3.3
150.0,3.0,3.0,2,0.0,3,0.0,40.7147344,29.9538172,3.35
104.0,3.0,2.0,1,0.0,3,0.0,40.7365963,30.0231861,4.1
118.0,4.0,1.0,1,0.0,3,0.0,40.7365963,30.0231861,4.55
90.0,2.0,2.0,1,0.0,5,0.0,40.71265229999999,29.9408065,2.65
87.0,3.0,2.0,1,0.0,3,0.0,40.7365963,30.0231861,3.5
81.0,2.0,3.0,1,0.0,6,0.0,40.8184455,29.4382459,2.8
111.0,3.0,3.0,1,0.0,3,0.0,40.7365963,30.0231861,4.1
85.0,2.0,2.0,1,21.0,4,0.0,40.8176435,29.3787483,1.19
145.0,3.0,2.0,1,4.0,3,0.0,40.7659429,29.7570809,3.75
89.0,2.0,2.0,1,0.0,3,1.0,40.7365963,30.0231861,1.999999
55.0,1.0,2.0,1,11.0,4,1.0,40.795564,29.883291,1.49
79.0,2.0,2.0,1,0.0,3,0.0,40.7387377,30.0723009,1.899999
