Net Metrekare,Oda Sayısı,Bulunduğu Kat,Banyo Sayısı,Binanın Yaşı,Binanın Kat Sayısı,Site İçerisinde,price
80.0,2.0,4.0,1,5.0,4,0.0,1.67
150.0,3.0,2.0,2,5.0,3,1.0,2.8
90.0,2.0,3.0,1,0.0,4,0.0,3.1
103.0,3.0,7.0,2,11.0,14,1.0,3.25
95.0,2.0,4.0,1,11.0,4,0.0,2.49
110.0,3.0,2.0,1,5.0,3,0.0,2.525
120.0,3.0,3.0,1,11.0,5,0.0,3.15
112.0,3.0,2.0,2,5.0,5,1.0,3.1
75.0,2.0,3.0,1,21.0,3,0.0,1.435
125.0,3.0,2.0,1,5.0,2,0.0,2.55
85.0,2.0,2.0,1,5.0,4,0.0,2.8
70.0,2.0,1.0,1,0.0,3,0.0,1.995
115.0,3.0,2.0,1,0.0,3,0.0,2.499999
65.0,1.0,3.0,1,5.0,4,1.0,1.49
100.0,3.0,3.0,1,16.0,12,0.0,2.135
95.0,2.0,4.0,1,21.0,6,0.0,1.69
90.0,2.0,3.0,1,0.0,3,0.0,2.15
150.0,3.0,3.0,2,0.0,3,1.0,3.95
95.0,2.0,1.0,1,5.0,3,0.0,1.85
95.0,2.0,9.0,1,5.0,9,1.0,2.375
58.0,1.0,2.0,1,0.0,4,0.0,1.65
88.0,2.0,1.0,1,3.0,4,0.0,2.525
98.0,3.0,2.0,1,0.0,3,0.0,3.1
125.0,3.0,2.0,1,0.0,3,0.0,2.9
293.0,5.0,2.0,2,16.0,2,0.0,2.5
125.0,3.0,2.0,1,11.0,3,0.0,2.76
110.0,3.0,3.0,1,21.0,3,0.0,3.3
66.0,2.0,3.0,1,0.0,4,1.0,2.5
520.0,3.0,2.0,1,2.0,2,1.0,7.5
80.0,2.0,6.0,1,11.0,6,0.0,2.1
120.0,2.0,5.0,1,4.0,5,1.0,3.275
105.0,3.0,4.0,2,21.0,8,0.0,3.7
110.0,3.0,2.0,1,11.0,5,1.0,2.05
120.0,3.0,6.0,1,11.0,6,0.0,2.45
110.0,3.0,2.0,1,5.0,3,1.0,3.1
145.0,3.0,2.0,1,5.0,3,0.0,2.28
120.0,3.0,2.0,1,11.0,3,0.0,2.15
90.0,2.0,4.0,1,21.0,4,0.0,2.69
82.0,1.0,2.0,1,11.0,3,0.0,1.64
110.0,3.0,1.0,1,21.0,4,0.0,3.75
95.0,2.0,2.0,1,21.0,3,0.0,1.65
85.0,2.0,2.0,2,11.0,3,1.0,2.9
85.0,2.0,2.0,1,5.0,4,0.0,2.95
85.0,2.0,2.0,1,21.0,4,0.0,3.75
139.0,3.0,2.0,2,0.0,4,1.0,5.7
85.0,2.0,2.0,1,3.0,4,0.0,1.875
90.0,3.0,8.0,1,21.0,8,0.0,1.75
125.0,3.0,2.0,1,5.0,3,0.0,2.57
90.0,2.0,2.0,1,2.0,3,0.0,2.05
160.0,3.0,3.0,2,4.0,3,1.0,5.8
70.0,1.0,2.0,1,4.0,4,1.0,2.275
80.0,2.0,2.0,1,21.0,5,0.0,1.7
100.0,3.0,2.0,1,0.0,3,0.0,2.7
75.0,2.0,1.0,1,0.0,2,0.0,2.75
130.0,3.0,2.0,2,4.0,3,1.0,6.5
125.0,3.0,2.0,2,5.0,3,1.0,2.9
80.0,2.0,1.0,1,0.0,3,0.0,2.1
174.0,4.0,3.0,2,0.0,3,1.0,8.2
139.0,3.0,2.0,2,11.0,5,1.0,3.2
135.0,3.0,3.0,1,0.0,3,0.0,3.1
120.0,3.0,3.0,1,0.0,4,0.0,3.0
80.0,2.0,1.0,1,0.0,4,0.0,2.5
85.0,2.0,3.0,1,0.0,4,0.0,2.75
95.0,3.0,2.0,1,0.0,5,0.0,3.1
110.0,3.0,2.0,1,0.0,4,0.0,3.75
100.0,2.0,2.0,1,0.0,4,0.0,2.25
85.0,2.0,2.0,1,0.0,4,0.0,2.3
60.0,1.0,2.0,1,5.0,4,0.0,1.45
145.0,4.0,4.0,2,0.0,4,0.0,3.8
95.0,3.0,1.0,1,1.0,4,0.0,2.55
95.0,2.0,3.0,2,5.0,5,0.0,2.55
85.0,2.0,2.0,1,11.0,4,0.0,1.84
120.0,2.0,2.0,2,0.0,4,0.0,3.15
165.0,4.0,1.0,1,0.0,5,0.0,2.85
110.0,3.0,2.0,1,16.0,4,0.0,1.55
75.0,2.0,2.0,1,0.0,4,0.0,2.3
120.0,2.0,2.0,1,0.0,4,0.0,2.5
97.0,3.0,2.0,1,4.0,4,0.0,2.5
120.0,3.0,5.0,1,0.0,5,0.0,2.75
100.0,2.0,2.0,1,0.0,3,0.0,2.45
140.0,3.0,4.0,1,2.0,4,0.0,2.75
110.0,3.0,3.0,1,0.0,4,0.0,2.55
120.0,3.0,3.0,1,0.0,4,0.0,3.0
180.0,4.0,6.0,2,11.0,6,0.0,4.65
90.0,2.0,2.0,1,11.0,4,0.0,1.47
100.0,3.0,2.0,1,0.0,4,0.0,2.27
130.0,3.0,2.0,1,3.0,2,0.0,2.75
120.0,3.0,4.0,1,16.0,4,0.0,6.5
160.0,3.0,2.0,1,11.0,3,1.0,3.375
90.0,2.0,1.0,1,0.0,2,0.0,2.35
100.0,2.0,1.0,1,0.0,3,0.0,2.55
80.0,2.0,2.0,1,5.0,4,0.0,1.85
140.0,3.0,2.0,1,0.0,3,0.0,3.2
100.0,2.0,2.0,1,21.0,4,0.0,1.75
100.0,3.0,1.0,1,0.0,3,0.0,3.25
80.0,2.0,2.0,1,0.0,3,0.0,2.25
90.0,3.0,2.0,1,5.0,4,0.0,2.28
80.0,2.0,2.0,1,5.0,2,0.0,4.3
120.0,3.0,3.0,1,0.0,4,0.0,3.95
